word,pos,example_sentence,collocations,root_analysis,synonyms,category,topic,card_type,zh_hint,notes
cycle,n./v.,Breaking the cycle of poverty requires investment in early education.,a vicious cycle; the water cycle; break the cycle,希臘 kyklos「圓圈」(同 cyclone/bicycle/encyclopedia) → 繞回原點,loop; sequence; rotation; round,AWL,Sublist 4,passive,循環、週期,
debate,n./v.,The proposal sparked a fierce debate about press freedom.,a heated debate; spark a debate; the debate over,"de-(徹底) + bat(打, 同 battle/combat) → 言語上的交鋒",discussion; argument; dispute; controversy,AWL,Sublist 4,passive,辯論、爭論,Task 2 開頭常用 There is an ongoing debate about whether...
despite,prep.,"Despite heavy investment, journey times have barely improved.",despite the fact that; despite this; despite efforts to,"de-(向下) + spite(看, 拉丁 specere, 同 spectacle/despise) → 看不起阻礙 → 儘管",in spite of; notwithstanding; regardless of; even with,AWL,Sublist 4,passive,儘管,後面接名詞或 V-ing；要接子句得寫 despite the fact that
dimension,n.,The crisis has an environmental dimension as well as an economic one.,a new dimension; the social dimension; add a dimension,"di-(徹底) + mens(測量, 同 measure/immense) + -ion → 量出來的面向",aspect; facet; element; scale,AWL,Sublist 4,passive,面向、層面,
domestic,adj.,Domestic waste accounts for a quarter of the city's rubbish.,domestic waste; domestic violence; the domestic market,"dom(家, 拉丁 domus, 同 dome/domicile) + -estic → 家裡的；引申為國內的",household; home; internal; national,AWL,Sublist 4,passive,家庭的；國內的,
emerge,v.,A clear pattern emerged after the third round of testing.,emerge as; a pattern emerges; emerge from,"e-(向外) + merg(沉沒, 同 submerge/merge) → 從水裡浮出來",appear; arise; surface; come to light,AWL,Sublist 4,passive,浮現、出現,
error,n.,A single data entry error skewed the whole survey.,a human error; make an error; margin of error,拉丁 errare「走偏」(同 err/erratic/errant) → 走錯路,mistake; fault; inaccuracy; slip,AWL,Sublist 4,passive,錯誤,
ethnic,adj.,The city is home to more than forty ethnic groups.,an ethnic group; ethnic diversity; ethnic minority,希臘 ethnos「民族」(同 ethnography) → 屬於某個民族的,cultural; racial; tribal; national,AWL,Sublist 4,passive,族群的、民族的,
goal,n.,Cutting emissions by half is an ambitious but achievable goal.,achieve a goal; a long-term goal; set a goal,中古英語 gol「界線、終點」→ 要抵達的那條線,aim; objective; target; purpose,AWL,Sublist 4,passive,目標,
grant,n./v.,The council granted planning permission despite local objections.,grant permission; a research grant; take for granted,拉丁 credentem「相信」→ 古法語 graunter「答應」→ 答應給出去,award; give; allow; bestow,AWL,Sublist 4,passive,准予、補助金,take something for granted = 把某事視為理所當然
hence,adv.,Fuel is heavily taxed and hence car ownership remains low.,and hence; hence the name; hence the need for,古英語 heonan「從這裡」→ 從這一點推出去 → 因此,therefore; thus; consequently; as a result,AWL,Sublist 4,passive,因此,後面常直接接名詞片語（hence the delay），不一定要接完整子句
hypothesis,n.,The data support the hypothesis that noise disrupts learning.,test a hypothesis; support a hypothesis; the null hypothesis,"hypo-(在下面, 同 hypodermic) + thesis(放置, 同 thesis/synthesis) → 先擺在底下的假設",theory; assumption; proposition; premise,AWL,Sublist 4,passive,假設,複數是 hypotheses
implicate,v.,Two former officials were implicated in the corruption scandal.,be implicated in; implicate someone in; heavily implicated,"im-(進入) + plic(摺疊, 同 apply/complex/imply) → 被摺進事情裡 → 牽連",involve; incriminate; connect; entangle,AWL,Sublist 4,passive,牽連、暗示涉及,
impose,v.,Several cities have imposed a congestion charge on private cars.,impose a ban; impose restrictions; impose a tax,"im-(在上面) + pos(放置, 同 position/compose/expose) → 壓在別人身上",enforce; levy; inflict; introduce,AWL,Sublist 4,passive,強制實施、課徵,impose sth on sb —— 介系詞是 on
internal,adj.,An internal review found serious failings in the safety system.,an internal review; internal affairs; internal migration,"intern(內部, 拉丁 internus, 同 interior/intern) + -al → 裡面的",inner; inside; domestic; in-house,AWL,Sublist 4,passive,內部的,
investigate,v.,Scientists are investigating why the coral recovered so quickly.,investigate a claim; thoroughly investigate; investigate the cause,"in-(進入) + vestig(足跡, 同 vestige) + -ate → 跟著腳印追下去",examine; look into; research; probe,AWL,Sublist 4,passive,調查、研究,
job,n.,Automation has already eliminated thousands of manufacturing jobs.,create jobs; a full-time job; job satisfaction,來源不明的中古英語 jobbe「一團、一份活」→ 一份要做的工作,employment; post; occupation; position,AWL,Sublist 4,passive,工作、職位,
label,n./v.,Foods must be labelled with their sugar content.,a warning label; label as; read the label,古法語 label「布條」→ 掛上去說明身分的東西,tag; mark; classify; brand,AWL,Sublist 4,passive,標籤；貼標籤,
mechanism,n.,The treaty sets up a mechanism for settling trade disputes.,a coping mechanism; a defence mechanism; put a mechanism in place,"mechan(機器, 希臘 mechane, 同 machine/mechanic) + -ism → 運作的方式",process; system; procedure; means,AWL,Sublist 4,passive,機制、機構,
obvious,adj.,There is no obvious reason why prices differ so widely between regions.,an obvious choice; for obvious reasons; it is obvious that,"ob-(朝向) + vi(道路, 同 via/previous/obviate) → 擋在路上的 → 一眼就看到",clear; evident; apparent; plain,AWL,Sublist 4,passive,明顯的,
occupy,v.,Informal settlements now occupy much of the land beside the river.,occupy a position; occupy space; be occupied with,"oc-(朝向) + cup(拿取, 同 capture/capable/accept) → 拿下來佔住",take up; inhabit; fill; hold,AWL,Sublist 4,passive,佔據、佔用,
option,n.,"For many commuters, cycling is simply not a realistic option.",a viable option; have no option; the best option,"opt(選擇, 拉丁 optare, 同 opt/adopt/optional) + -ion → 可以選的東西",choice; alternative; possibility; selection,AWL,Sublist 4,passive,選項、選擇,
output,n.,Factory output fell sharply during the second quarter.,industrial output; increase output; total output,out(向外) + put(放) → 產出來的東西,production; yield; productivity; product,AWL,Sublist 4,passive,產量、輸出,Task 1 描述生產數據常用 output rose / fell
parallel,adj./n.,There are clear parallels between the two cities' housing crises.,draw a parallel; in parallel with; a parallel case,"para-(旁邊, 同 paragraph/parallel) + allel(彼此) → 並排而行",similar; comparable; corresponding; analogous,AWL,Sublist 4,passive,平行的、相似之處,
parameter,n.,The study worked within very narrow parameters.,set the parameters; within the parameters; key parameters,"para-(旁邊) + meter(測量, 同 metre/thermometer) → 用來界定範圍的量",limit; boundary; variable; criterion,AWL,Sublist 4,passive,參數、界限,
phase,n.,The first phase of the project focused on flood defences.,the first phase; phase out; a transitional phase,希臘 phasis「顯現」(同 emphasis/phenomenon) → 顯現出來的一個階段,stage; period; step; chapter,AWL,Sublist 4,passive,階段,phase something out = 逐步淘汰，Task 2 講政策很好用
predict,v.,Economists predict that housing costs will keep rising.,predict that; accurately predict; as predicted,"pre-(事先) + dict(說, 同 dictate/verdict/contradict) → 事先說出來",forecast; foresee; anticipate; project,AWL,Sublist 4,passive,預測,
principal,adj./n.,Agriculture remains the principal source of income in the valley.,the principal cause; the principal reason; a school principal,"princip(第一, 拉丁 princeps, 同 prince/principle) + -al → 排第一的",main; chief; primary; leading,AWL,Sublist 4,passive,主要的；校長,principal（主要的）vs principle（原則）—— 拼字題常考
prior,adj.,No prior experience is required for the training scheme.,prior to; prior knowledge; prior approval,拉丁 prior「更前面的」(同 primary/prime) → 時間上在前的,previous; earlier; preceding; former,AWL,Sublist 4,passive,先前的,prior to = before，正式寫作常用
professional,adj./n.,Nurses receive ongoing professional development throughout their careers.,professional development; a health professional; professional standards,"profess(公開宣稱, pro-(向前) + fess(說, 同 confess)) + -ional → 公開宣稱以此為業",expert; qualified; skilled; vocational,AWL,Sublist 4,passive,專業的；專業人士,
project,n./v.,The population is projected to double within thirty years.,a pilot project; be projected to; a research project,"pro-(向前) + ject(投擲, 同 reject/inject/eject) → 向前投出去",scheme; plan; forecast; venture,AWL,Sublist 4,passive,計畫；推估,Task 1 講未來數據常用 is projected to rise
promote,v.,The campaign promotes cycling as a cheap alternative to driving.,promote awareness; promote growth; actively promote,"pro-(向前) + mot(移動, 同 motion/motive/remove) → 往前推",encourage; advance; foster; boost,AWL,Sublist 4,passive,促進、推廣,
regime,n.,The new regime abolished tuition fees in its first year.,a military regime; a strict regime; the previous regime,"reg(統治, 同 regular/regulate/royal) + -ime → 統治的方式",government; administration; system; rule,AWL,Sublist 4,passive,政權、制度,
resolve,v./n.,The dispute was finally resolved through mediation.,resolve a dispute; resolve an issue; resolve to do,"re-(徹底) + solv(鬆開, 同 solve/dissolve/solution) → 把糾結鬆開",settle; solve; sort out; determine,AWL,Sublist 4,passive,解決；決心,
retain,v.,Schools struggle to retain experienced teachers in rural areas.,retain staff; retain control; retain information,"re-(往回) + tain(握住, 同 contain/maintain/detain) → 握住不放",keep; hold on to; preserve; maintain,AWL,Sublist 4,passive,保留、留住,
series,n.,A series of heatwaves damaged crops across the region.,a series of; a whole series; the latest series,拉丁 serere「串連」(同 serial/insert) → 串成一列,sequence; succession; string; run,AWL,Sublist 4,passive,一系列,單複數同形；a series of + 複數名詞，動詞用單數
statistic,n.,Official statistics show a steady fall in violent crime.,official statistics; crime statistics; a shocking statistic,"stat(國家、狀態, 同 state/status) + -istic → 國家蒐集的數字",figure; data point; number; measure,AWL,Sublist 4,passive,統計數字,單數 statistic 指一個數字，複數 statistics 才是統計資料
status,n.,Socioeconomic status strongly predicts a child's exam results.,social status; legal status; status quo,拉丁 status「站立的位置」(同 stand/state/statue) → 站在哪個位置,standing; position; rank; condition,AWL,Sublist 4,passive,地位、狀態,
stress,n./v.,Long commutes are a major source of stress for city workers.,under stress; cause stress; stress the importance of,拉丁 strictus「拉緊」(同 strict/restrict/distress) → 被拉緊的狀態,pressure; strain; tension; emphasise,AWL,Sublist 4,passive,壓力；強調,
subsequent,adj.,The subsequent investigation revealed a series of safety failures.,subsequent years; a subsequent study; subsequent to,"sub-(接著) + sequ(跟隨, 同 sequence/consequence) + -ent → 跟在後面的",following; later; succeeding; ensuing,AWL,Sublist 4,passive,隨後的,
sum,n./v.,The city spent a considerable sum on the flood barrier.,a large sum; sum up; the sum of,拉丁 summa「最高、總計」(同 summit/summary) → 加起來的頂點,amount; total; figure; quantity,AWL,Sublist 4,passive,金額、總和,"sum up = 總結，口說結尾常用 To sum up, ..."
summary,n.,"In summary, the benefits clearly outweigh the costs.",in summary; a brief summary; a summary of findings,"summ(總計, 同 sum/summit) + -ary → 把重點加總起來",overview; outline; synopsis; digest,AWL,Sublist 4,passive,摘要、總結,Task 1 必寫的 overview 段落，就是一種 summary
undertake,v.,The university undertook a five-year study of urban air quality.,undertake research; undertake a study; undertake to do,under(在下面) + take(拿) → 把責任接下來扛住,carry out; take on; conduct; commit to,AWL,Sublist 4,passive,著手進行、承擔,不規則變化：undertake / undertook / undertaken
academy,n.,The national academy trains most of the country's music teachers.,a military academy; the national academy; an academy of science,希臘 Akademeia（柏拉圖講學的樹林）→ 專門訓練某項技能的學園,institute; college; school; society,AWL,Sublist 5,passive,學院、專門學校,
adjust,v.,Farmers have had to adjust their planting times as the climate warms.,adjust to; adjust accordingly; make adjustments,"ad-(朝向) + just(正確, 同 just/justice) → 調到剛好對的位置",adapt; modify; fine-tune; acclimatise,AWL,Sublist 5,passive,調整、適應,
alter,v.,Nothing in the report altered the committee's original recommendation.,alter dramatically; alter the balance; significantly alter,拉丁 alter「另一個」(同 alternative/alternate) → 變成另一個樣子,change; modify; amend; transform,AWL,Sublist 5,passive,改變,
amend,v.,Parliament amended the bill to protect small farmers.,amend a law; amend the constitution; amend slightly,"拉丁 emendare「去掉瑕疵」(e-(去除) + mend(瑕疵), 同 mend) → 改掉錯的地方",revise; modify; correct; adjust,AWL,Sublist 5,passive,修正、修訂,
aware,adj.,Most shoppers are now aware of the cost of plastic packaging.,be aware of; become aware; acutely aware,古英語 gewær「警覺的」(同 wary/beware) → 察覺得到,conscious; mindful; alert; informed,AWL,Sublist 5,passive,意識到的、知道的,名詞 awareness —— raise awareness of 是 Task 2 常用搭配
capacity,n.,The stadium has a capacity of sixty thousand.,at full capacity; the capacity to; storage capacity,"cap(拿取, 同 capable/capture/accept) + -acity → 能裝下多少",ability; volume; capability; size,AWL,Sublist 5,passive,容量、能力,
challenge,n./v.,Feeding a growing population is the greatest challenge facing agriculture.,face a challenge; a major challenge; pose a challenge,拉丁 calumnia「指控」→ 古法語 chalenge → 提出質疑 → 挑戰,difficulty; test; obstacle; question,AWL,Sublist 5,passive,挑戰；質疑,
clause,n.,A clause in the contract allows either side to withdraw.,a contract clause; under this clause; insert a clause,拉丁 claudere「關閉」(同 close/include/conclude) → 收尾的一段文字,provision; section; term; article,AWL,Sublist 5,passive,條款；子句,
compound,n./v./adj.,Traffic restrictions compounded the difficulties faced by local shops.,compound the problem; a chemical compound; compound interest,"com-(一起) + pon(放置, 同 component/compose) → 混在一起 → 使更複雜",worsen; aggravate; mixture; combination,AWL,Sublist 5,passive,使惡化；化合物,
conflict,n./v.,The findings conflict with earlier research on the same population.,a conflict of interest; conflict with; armed conflict,"con-(一起) + flict(打擊, 同 inflict/afflict) → 互相撞上",clash; dispute; disagreement; contradict,AWL,Sublist 5,passive,衝突、矛盾,
consult,v.,Residents were never consulted about the new motorway.,consult with; consult a specialist; widely consulted,拉丁 consulere「商議」(同 counsel/consultant) → 去問人的意見,ask; confer with; seek advice from; refer to,AWL,Sublist 5,passive,諮詢、請教,
contact,n./v.,Children in the study had daily contact with adults outside the family.,come into contact with; make contact; eye contact,"con-(一起) + tact(觸碰, 同 tactile/intact/contagious) → 碰在一起",touch; communication; connection; reach,AWL,Sublist 5,passive,接觸、聯繫,
discrete,adj.,The process can be divided into four discrete stages.,discrete units; discrete categories; entirely discrete,"dis-(分開) + cret(分辨, 同 secret/discern) → 分得開的",separate; distinct; individual; unconnected,AWL,Sublist 5,passive,各自獨立的、分立的,discrete（分立的）vs discreet（謹慎的）—— 拼字題最愛考
draft,n./v.,She drafted the proposal in a single afternoon.,a first draft; draft a proposal; a rough draft,draw(拉、畫) 的變體 → 先拉出一個粗樣,outline; sketch; version; compose,AWL,Sublist 5,passive,草稿；起草,寫作課常說 write a first draft，再 revise
enable,v.,Online courses enable students in remote areas to attend university.,enable someone to; technology enables; enable access,en-(使) + able(能夠) → 使有能力做某事,allow; permit; empower; facilitate,AWL,Sublist 5,passive,使能夠,enable sb to do sth —— 後面固定接 to + 原形
energy,n.,Renewable energy now supplies almost half the country's electricity.,renewable energy; energy consumption; save energy,"希臘 en-(在裡面) + ergon(工作, 同 ergonomic/synergy) → 裡面能做功的東西",power; vigour; fuel; strength,AWL,Sublist 5,passive,能源、精力,
enforce,v.,The speed limit is rarely enforced outside the city centre.,enforce a law; strictly enforce; enforce a ban,en-(使) + force(力量) → 用力量讓規定生效,implement; impose; apply; uphold,AWL,Sublist 5,passive,執行、強制實施,
entity,n.,The two departments were merged into a single legal entity.,a separate entity; a legal entity; a distinct entity,拉丁 ens「存在的東西」(同 essence/present) + -ity → 獨立存在的個體,body; organisation; unit; being,AWL,Sublist 5,passive,實體、個體,
equivalent,adj./n.,The saving is equivalent to taking half a million cars off the road.,equivalent to; the equivalent of; roughly equivalent,"equi-(相等, 同 equal/equator) + val(價值, 同 value/valid) → 價值相等",equal; comparable; corresponding; same,AWL,Sublist 5,passive,相等的、對等物,
evolve,v.,The festival has evolved from a village fair into a national event.,evolve into; evolve over time; gradually evolve,"e-(向外) + volv(捲動, 同 revolve/involve/volume) → 慢慢展開",develop; grow; progress; transform,AWL,Sublist 5,passive,演變、進化,
expand,v.,The city expanded rapidly after the railway arrived.,expand rapidly; expand into; expand the network,"ex-(向外) + pand(展開, 同 expanse/spread) → 往外攤開",grow; enlarge; extend; broaden,AWL,Sublist 5,passive,擴張、擴大,
expose,v.,Children exposed to heavy traffic show reduced lung capacity.,be exposed to; expose corruption; expose a weakness,"ex-(向外) + pos(放置, 同 position/impose/compose) → 放到外面 → 暴露",reveal; uncover; subject to; disclose,AWL,Sublist 5,passive,暴露、揭露,名詞 exposure —— exposure to pollution 是健康題常用
external,adj.,An external auditor reviews the accounts every year.,external factors; an external review; external pressure,"extern(外部, 拉丁 externus, 同 exterior/external) + -al → 外面的",outside; outer; foreign; independent,AWL,Sublist 5,passive,外部的,
facilitate,v.,Better broadband would facilitate remote working in rural towns.,facilitate access; facilitate communication; greatly facilitate,"facil(容易, 拉丁 facilis, 同 facility/faculty) + -ate → 使變容易",ease; assist; enable; smooth the way for,AWL,Sublist 5,passive,促進、使容易,
fundamental,adj.,Access to clean water is a fundamental human right.,a fundamental right; fundamental change; fundamentally different,"fund(底部, 同 foundation/fund) + -ment + -al → 打在最底下的",basic; essential; core; underlying,AWL,Sublist 5,passive,基本的、根本的,
generate,v.,Wind farms now generate more power than coal in several regions.,generate income; generate electricity; generate interest,"gen(生, 同 gene/generate/genesis) + -ate → 產生出來",produce; create; yield; bring about,AWL,Sublist 5,passive,產生、發電,
generation,n.,The younger generation is far more willing to give up car ownership.,the younger generation; future generations; generation gap,gen(生) + -ation → 同一批生出來的人；也指「產生」的過程,age group; cohort; production; era,AWL,Sublist 5,passive,世代；產生,
image,n.,The campaign was designed to improve the city's image abroad.,public image; improve an image; a positive image,拉丁 imago「像」(同 imagine/imitate) → 呈現出來的樣子,picture; impression; reputation; likeness,AWL,Sublist 5,passive,形象、影像,
liberal,adj.,The college offers a broad liberal education rather than narrow training.,a liberal education; liberal arts; liberal attitudes,"liber(自由, 拉丁 liber, 同 liberty/liberate) + -al → 自由開放的",open-minded; tolerant; progressive; broad,AWL,Sublist 5,passive,開明的、自由的,
licence,n.,Restaurants need a licence to serve alcohol after midnight.,a driving licence; grant a licence; under licence,拉丁 licere「被允許」(同 licit/leisure) → 官方發的許可,permit; authorisation; certificate; approval,AWL,Sublist 5,passive,執照、許可,英式名詞 licence、動詞 license；美式都寫 license
logic,n.,There is a certain logic to charging drivers for entering the city.,the logic behind; flawed logic; by that logic,希臘 logos「話語、理性」(同 logo/dialogue/-logy) → 講理的規則,reasoning; rationale; sense; argument,AWL,Sublist 5,passive,邏輯、道理,
margin,n.,The proposal passed by a narrow margin of just three votes.,by a narrow margin; profit margin; margin of error,拉丁 margo「邊緣」(同 marginal/margin) → 邊上的空間 → 差距,edge; difference; gap; border,AWL,Sublist 5,passive,差距、邊緣,
medical,adj.,Medical staff worked twelve-hour shifts throughout the outbreak.,medical care; medical staff; medical treatment,"med(醫治, 拉丁 mederi, 同 medicine/remedy) + -ical → 醫療的",clinical; healthcare; therapeutic; health-related,AWL,Sublist 5,passive,醫療的,
mental,adj.,Employers are finally taking mental health as seriously as physical health.,mental health; mental illness; mental effort,"ment(心思, 拉丁 mens, 同 mention/comment/mentality) + -al → 心理的",psychological; cognitive; intellectual; emotional,AWL,Sublist 5,passive,心理的、精神的,
modify,v.,The design was modified after complaints from cyclists.,modify a plan; slightly modify; genetically modified,"mod(尺度、方式, 同 mode/moderate/model) + -ify → 改一下方式",change; adjust; alter; revise,AWL,Sublist 5,passive,修改、調整,
monitor,v./n.,Sensors monitor air quality at fifty points across the city.,closely monitor; monitor progress; monitor the situation,"mon(警告、提醒, 拉丁 monere, 同 monument/admonish) + -itor → 持續提醒你狀況的東西",track; observe; watch; supervise,AWL,Sublist 5,passive,監測、監控,
network,n./v.,The rail network carries two million passengers a day.,a rail network; a support network; build a network,net(網) + work(結構) → 交織成網的系統,system; web; grid; chain,AWL,Sublist 5,passive,網絡、人脈,
notion,n.,The notion that money guarantees happiness is not supported by the data.,the notion that; reject a notion; a vague notion,"not(知道, 拉丁 noscere, 同 notice/note/knowledge) + -ion → 心裡知道的一個想法",idea; concept; belief; impression,AWL,Sublist 5,passive,概念、想法,
objective,adj./n.,Examiners are trained to stay objective when marking essays.,remain objective; an objective assessment; the main objective,"ob-(朝向) + ject(投擲, 同 project/reject) + -ive → 對著外在客體 → 不帶主觀",impartial; unbiased; neutral; goal,AWL,Sublist 5,passive,客觀的；目標,反義字 subjective（主觀的）
orient,v.,New staff spend a week orienting themselves to the hospital's systems.,orient towards; orient oneself; market-oriented,拉丁 oriens「日出的方向」(同 origin/orient) → 先找到東方 → 定位,adjust; align; position; familiarise,AWL,Sublist 5,passive,定位、使適應,"-oriented 當形容詞後綴很常用：results-oriented, export-oriented"
perspective,n.,"From an economic perspective, the subsidy is difficult to defend.",from a perspective; a different perspective; put into perspective,"per-(穿透) + spect(看, 同 inspect/spectacle) + -ive → 看穿過去的角度",viewpoint; angle; outlook; standpoint,AWL,Sublist 5,passive,觀點、角度,"Task 2 換觀點很好用：From another perspective, ..."
precise,adj.,The precise cause of the decline is still unknown.,the precise cause; to be precise; precise measurements,"pre-(事先) + cis(切割, 同 scissors/decide/concise) → 事先切得整整齊齊",exact; accurate; specific; definite,AWL,Sublist 5,passive,精確的,
prime,adj.,Overcrowding is the prime reason families leave the inner city.,the prime reason; prime example; of prime importance,拉丁 primus「第一」(同 primary/prince/primitive) → 排第一的,main; chief; principal; foremost,AWL,Sublist 5,passive,首要的,
psychology,n.,Consumer psychology explains why small price changes matter so much.,consumer psychology; child psychology; study psychology,"psych(心靈, 希臘 psyche) + -logy(學問) → 研究心的學問",mindset; mental science; behaviour study,AWL,Sublist 5,passive,心理學、心理,
pursue,v.,Fewer graduates are pursuing careers in teaching.,pursue a career; pursue a goal; actively pursue,"pur-(向前) + sue(跟隨, 同 sue/suit/consequence) → 一路追下去",chase; follow; seek; strive for,AWL,Sublist 5,passive,追求、從事,
ratio,n.,The student-to-teacher ratio has fallen from thirty to eighteen.,the ratio of; a high ratio; in a ratio of,拉丁 ratio「計算、比例」(同 rate/rational/reason) → 兩個數的關係,proportion; rate; balance; relationship,AWL,Sublist 5,passive,比例、比率,Task 1 比較兩組數字時很好用：the ratio of A to B
reject,v.,The council rejected the proposal on environmental grounds.,reject a proposal; flatly reject; reject an application,"re-(往回) + ject(投擲, 同 project/inject/eject) → 丟回去 → 拒絕",refuse; turn down; dismiss; decline,AWL,Sublist 5,passive,拒絕、駁回,
revenue,n.,Tourism accounts for a third of the island's revenue.,tax revenue; generate revenue; revenue from,"re-(回來) + ven(來, 同 venue/convene/event) → 回流進來的錢",income; earnings; receipts; takings,AWL,Sublist 5,passive,收入、稅收,
stable,adj.,Unemployment has remained stable for three consecutive quarters.,remain stable; a stable economy; relatively stable,"st(站立, 同 stand/status/statue) + -able → 站得穩的",steady; constant; firm; unchanging,AWL,Sublist 5,passive,穩定的,Task 1 描述持平的線就用 remained stable
style,n.,Her writing style is plain but extremely precise.,a writing style; a lifestyle; in the style of,拉丁 stilus「書寫用的尖筆」→ 用筆的方式 → 風格,manner; approach; fashion; form,AWL,Sublist 5,passive,風格、方式,
substitute,n./v.,Nothing can substitute for time spent reading with a child.,substitute for; a substitute teacher; a poor substitute,"sub-(在下面) + stitut(設立, 同 institute/constitute) → 頂上去代替",replacement; stand-in; alternative; replace,AWL,Sublist 5,passive,替代品；代替,
sustain,v.,Few economies can sustain growth of ten per cent for long.,sustain growth; sustain an injury; sustain interest,"sus-(在下面) + tain(握住, 同 contain/maintain/retain) → 從底下撐住",maintain; support; keep up; prolong,AWL,Sublist 5,passive,維持、承受,sustainable development（永續發展）是環境題必備
symbol,n.,The bicycle has become a symbol of the city's green ambitions.,a symbol of; a status symbol; a powerful symbol,"sym-(一起, 同 sympathy/synthesis) + bol(投擲, 同 ballistic) → 兩半合起來作記號",sign; emblem; token; representation,AWL,Sublist 5,passive,象徵、符號,
target,n./v.,The country missed its emissions target by a wide margin.,meet a target; set a target; target audience,古法語 targe「小盾」→ 練習射擊的盾牌 → 要打中的目標,goal; objective; aim; quota,AWL,Sublist 5,passive,目標；針對,
transit,n.,Goods are often damaged in transit rather than in the warehouse.,in transit; public transit; a transit system,"trans-(橫越, 同 transfer/transport) + it(走, 同 exit/initial) → 走過去的過程",transport; passage; movement; transfer,AWL,Sublist 5,passive,運輸、通行,
trend,n.,The overall trend has been downward since 2015.,an upward trend; a downward trend; buck the trend,古英語 trendan「旋轉、轉向」→ 整體轉往哪個方向,tendency; direction; pattern; movement,AWL,Sublist 5,passive,趨勢,Task 1 概述段最常用的字之一：an upward/downward trend
version,n.,The final version of the report dropped the most critical section.,the final version; an earlier version; a revised version,"vers(轉動, 同 reverse/convert/versatile) + -ion → 轉過一輪之後的樣子",edition; variant; form; account,AWL,Sublist 5,passive,版本、說法,
welfare,n.,Animal welfare standards vary enormously between countries.,social welfare; animal welfare; the welfare state,"wel(好, 同 well) + fare(過活, 同 farewell/thoroughfare) → 過得好不好",wellbeing; benefit; health; prosperity,AWL,Sublist 5,passive,福利、福祉,
abstract,adj./n.,Young children find abstract concepts such as justice hard to grasp.,an abstract concept; in the abstract; abstract thinking,"abs-(離開) + tract(拉, 同 attract/extract/tractor) → 從具體事物中抽離出來",theoretical; conceptual; intangible; notional,AWL,Sublist 6,passive,抽象的；摘要,
accurate,adj.,Weather forecasts are far more accurate than they were twenty years ago.,highly accurate; an accurate estimate; accurate data,"ac-(朝向) + cur(照料, 同 cure/curious/accurate) + -ate → 仔細照料過 → 沒有誤差",precise; exact; correct; reliable,AWL,Sublist 6,passive,準確的,
acknowledge,v.,The minister acknowledged that the targets had been missed.,acknowledge that; widely acknowledged; acknowledge a mistake,ac-(朝向) + knowledge(知識) → 公開承認自己知道,admit; concede; recognise; accept,AWL,Sublist 6,passive,承認、認可,Task 2 讓步段常用：It must be acknowledged that...
aggregate,n./adj./v.,"In aggregate, the three schemes saved forty thousand tonnes of carbon.",in aggregate; aggregate demand; the aggregate figure,"ag-(朝向) + greg(群, 同 congregate/gregarious) + -ate → 聚成一群 → 總計",total; combined; collective; sum,AWL,Sublist 6,passive,總計、合計,
assign,v.,Each student is assigned a personal tutor in the first week.,assign a task; be assigned to; assign responsibility,"as-(朝向) + sign(記號, 同 signal/design/signature) → 標記給某人 → 分派",allocate; allot; give; designate,AWL,Sublist 6,passive,分派、指派,
attach,v.,Voters attach far more importance to housing than to foreign policy.,attach importance to; attach a file; be attached to,古法語 atachier「釘住」(同 attack/detach) → 釘上去 → 附加,fasten; connect; add; affix,AWL,Sublist 6,passive,附上、賦予,attach importance to something 是寫作高分搭配
author,n.,The author of the study admits the sample was small.,the lead author; a best-selling author; the author argues,拉丁 auctor「創始者」(同 authority/augment) → 把東西生出來的人,writer; creator; originator; novelist,AWL,Sublist 6,passive,作者,
bond,n./v.,Shared meals help build a bond between neighbours.,a strong bond; form a bond; government bonds,古英語 bindan「綁」(同 bind/band/bundle) → 綁住兩者的東西,tie; link; connection; attachment,AWL,Sublist 6,passive,連結、債券,
brief,adj./n.,"After a brief decline, house prices resumed their upward climb.",a brief period; in brief; a brief summary,拉丁 brevis「短」(同 abbreviate/brevity) → 短的,short; concise; quick; succinct,AWL,Sublist 6,passive,簡短的,in brief = 簡言之，適合放結論句開頭
capable,adj.,Modern batteries are capable of storing enough power for two days.,capable of; highly capable; more than capable,"cap(拿取, 同 capacity/capture/accept) + -able → 拿得起來 → 有能力的",able; competent; skilled; proficient,AWL,Sublist 6,passive,有能力的,capable of + V-ing，不接 to do
cite,v.,The report cites three separate studies on air pollution.,cite evidence; frequently cited; cite an example,拉丁 citare「召喚」(同 excite/recite/incite) → 把出處叫出來,quote; refer to; mention; name,AWL,Sublist 6,passive,引用、舉出,
cooperate,v.,Neighbouring cities cooperated to build a shared waste plant.,cooperate with; cooperate closely; refuse to cooperate,"co-(共同) + oper(工作, 同 operate/opera) + -ate → 一起做事",collaborate; work together; join forces; coordinate,AWL,Sublist 6,passive,合作,
discriminate,v.,The law makes it illegal to discriminate against older applicants.,discriminate against; discriminate between; unfairly discriminate,"dis-(分開) + crimin(分辨, 同 crisis/critic/certain) + -ate → 分辨開來；引申為差別待遇",distinguish; differentiate; single out; show bias,AWL,Sublist 6,passive,歧視；辨別,
display,v./n.,The museum displays objects recovered from the shipwreck.,on display; display a sign; display symptoms,"dis-(分開) + play(摺疊, 拉丁 plicare, 同 apply/imply) → 攤開來給人看",show; exhibit; present; reveal,AWL,Sublist 6,passive,展示,
